Temps,Voie A,Voie B,Voie C
(ns),(mV),(mV),(mV)

347000,0,-1,0
348000,0,0,0
349000,0,0,0
350000,0,0,0
351000,0,1,1
352000,0,3,0
353000,0,1,0
354000,0,1,1
355000,0,0,1
356000,0,0,0
357000,-1,0,1
358000,0,1,0
359000,0,1,0
360000,0,0,1
361000,0,0,0
362000,0,0,0
363000,0,1,0
364000,0,1,1
365000,-1,0,1
366000,-1,0,0
367000,0,1,0
368000,0,0,0
369000,0,0,0
370000,1,0,0
371000,0,0,1
372000,0,1,0
373000,0,0,0
374000,0,0,0
375000,0,0,0
376000,0,0,0
377000,0,0,0
378000,0,0,0
379000,0,0,0
380000,0,0,0
381000,0,0,1
382000,0,0,0
383000,1,1,-1
384000,0,1,0
385000,0,0,0
386000,0,0,0
387000,0,0,1
388000,1,1,1
389000,0,0,0
390000,0,0,0
391000,0,1,0
392000,0,0,0
393000,0,0,0
394000,1,0,0
395000,0,0,1
396000,0,0,0
397000,0,0,1
398000,0,1,1
399000,0,0,0
400000,0,1,0
401000,0,0,0
402000,0,0,3
403000,0,0,0
404000,0,1,1
405000,0,1,0
406000,0,0,1
407000,-1,0,0
408000,0,0,0
409000,0,0,1
410000,0,0,0
411000,0,0,0
412000,0,0,0
413000,-1,0,0
414000,0,1,0
415000,0,1,0
416000,0,0,1
417000,0,0,0
418000,0,0,0
419000,0,0,0
420000,0,0,0
421000,0,0,1
422000,0,0,0
423000,0,0,0
424000,0,1,0
425000,0,0,1
426000,0,1,1
427000,0,0,0
428000,0,0,0
429000,0,1,0
430000,0,0,1
431000,0,1,1
432000,0,1,1
433000,1,0,0
434000,0,0,0
435000,0,1,0
436000,0,0,1
437000,0,0,1
438000,0,0,0
439000,0,0,1
440000,0,0,1
441000,0,0,0
442000,1,1,0
443000,0,0,0
444000,0,1,0
445000,0,0,0
446000,0,0,0
447000,0,0,0
448000,0,0,0
449000,0,0,0
450000,-1,0,0
451000,0,0,0
452000,0,0,0
453000,0,0,0
454000,0,1,1
455000,1,0,0
456000,0,0,0
457000,0,0,0
458000,0,0,1
459000,1,1,0
460000,0,1,0
461000,0,0,0
462000,0,0,0
463000,0,0,1
464000,0,0,0
465000,0,0,1
466000,0,0,1
467000,0,1,0
468000,0,1,0
469000,0,0,0
470000,0,0,0
471000,0,0,0
472000,0,1,0
473000,0,0,1
474000,0,0,0
475000,0,0,1
476000,0,-1,-1
477000,0,1,0
478000,0,0,0
479000,-1,1,0
480000,0,0,0
481000,0,0,0
482000,1,1,0
483000,0,0,1
484000,0,1,0
485000,0,0,0
486000,0,0,0
487000,0,3,0
488000,0,0,0
489000,0,0,0
490000,0,1,0
491000,0,0,0
492000,0,0,1
493000,0,0,0
494000,0,0,0
495000,0,0,0
496000,0,0,1
497000,0,0,0
498000,-1,1,1
499000,0,0,1
500000,0,1,1
501000,0,1,0
502000,0,1,0
503000,0,1,0
504000,0,0,-1
505000,0,0,0
506000,0,0,0
507000,0,0,0
508000,0,0,0
509000,0,0,0
510000,0,0,1
511000,0,1,0
512000,0,1,-1
513000,0,0,0
514000,0,0,0
515000,0,0,0
516000,0,0,0
517000,-1,0,0
518000,1,0,0
519000,0,0,0
520000,0,1,0
521000,0,0,0
522000,0,0,0
523000,0,0,0
524000,0,1,0
525000,0,0,1
526000,0,0,0
527000,0,1,0
528000,0,1,1
529000,1,0,0
530000,0,0,0
531000,0,0,1
532000,0,0,0
533000,0,0,1
534000,0,0,1
535000,0,0,0
536000,0,0,0
537000,0,0,0
538000,0,0,0
539000,1,1,1
540000,0,0,0
541000,0,0,0
542000,0,0,0
543000,0,1,1
544000,1,0,0
545000,0,1,0
546000,0,0,0
547000,1,1,0
548000,0,1,0
549000,0,1,0
550000,0,1,0
551000,0,0,1
552000,0,0,0
553000,0,0,1
554000,0,1,0
555000,1,0,0
556000,0,-1,0
557000,0,0,1
558000,0,1,1
559000,0,0,0
560000,0,0,1
561000,0,0,0
562000,0,0,1
563000,0,0,0
564000,0,1,0
565000,0,0,0
566000,0,0,0
567000,0,0,0
568000,0,0,0
569000,1,0,0
570000,1,0,0
571000,0,0,0
572000,0,0,1
573000,0,0,0
574000,0,0,0
575000,0,0,0
576000,0,0,0
577000,0,0,0
578000,0,0,0
579000,-1,1,0
580000,0,0,-1
581000,0,0,0
582000,0,1,0
583000,-1,0,0
584000,0,3,0
585000,0,0,0
586000,0,1,0
587000,0,1,1
588000,0,0,0
589000,-1,0,0
590000,0,0,0
591000,0,0,0
592000,0,1,0
593000,0,0,0
594000,0,0,0
595000,0,0,0
596000,0,0,0
597000,0,0,0
598000,0,0,0
599000,0,0,0
600000,0,0,0
601000,0,0,0
602000,0,1,1
603000,1,1,0
604000,0,0,1
605000,1,0,0
606000,-1,1,0
607000,0,0,0
608000,0,1,0
609000,0,0,0
610000,1,1,0
611000,0,1,0
612000,0,0,0
613000,0,0,0
614000,0,0,0
615000,0,1,0
616000,0,1,1
617000,0,0,0
618000,1,1,1
619000,0,1,0
620000,0,0,0
621000,0,0,3
622000,0,1,0
623000,0,1,0
624000,0,1,1
625000,0,0,0
626000,0,0,0
627000,0,0,1
628000,0,0,1
629000,0,0,0
630000,0,1,0
631000,0,0,0
632000,0,0,0
633000,3,0,0
634000,0,0,0
635000,0,0,0
636000,0,1,1
637000,0,0,0
638000,0,0,1
639000,0,0,1
